Years,Casting,CID,Low Power,High Power,Main Caps,Comments,
1970-80,3951509,400,150,265,4-Feb,"car,truck",
1970-73,3951511,400,255,265,4,B & G body,
1962-67,3953512,327,-,-,2,,
1968-69,3955618,327,-,-,4,"A,F,Vette",
1969,3956618,302,290,290,4,Z28,
1969,3956618,327,235,235,2,fullsize,
1969,3956618,350,250,350,4-Feb,cars,
1969,3956632,307,200,200,2,car & truck,
1969-76,3958618,350,-,-,2,A,
1962-63,3959512,327,250,-,2,,
1956-67,3959532,283,-,-,2,,
1968,3970010,327,-,-,2,A,
1969-79,3970010,350,185,370,2 or 4,"car, truck, Vette",
1970-73,3970014,350,200,300,4-Feb,LA built Camaro,
1969-73,3970020,307,115,200,2,"car,truck",
1969-72,3970024,307,130,200,2,"A,F,X",
1968-76,6259425,350,-,-,-,"car,truck",
1980-84,14010201,305,-,-,2,"car,truck",
1980-84,14010202,305,-,-,2,"car,truck",
1980-84,14010203,305,-,-,2,"car, truck",
1980-82,14010205,267,-,-,2,-,
1980-85,14010207,350,-,-,4,truck,
1980-85,14010209,350,-,-,4,truck,
1978-86,14010231,305,-,-,2,-,
1979-82,14010280,267,-,-,2,car,
1982,14011064,350,-,-,4,"Chevrolet, high tin",
1979-82,14016375,267,-,-,2,-,
1979-82,14016376,267,-,-,2,car,
1978-85,14016379,350,-,-,-,"car, truck",
1980-84,14016381,305,-,-,2,"car, truck",
1978-88,14016383,305,-,-,2,-,
1979-82,14040205,267,-,-,2,-,
1978-86,14049047,305,-,-,2,,
1986-94,14079287,350,-,-,-,,
1987,14088526,350,-,-,2,Camaro,
1986-94,14088548,350,-,-,-,-,
1986-92,14088551,305,-,-,2,-,
1988-94,14093627,305,-,-,2,-,
1986-94,14093638,350,-,-,-,,
1988-94,14094766,305,-,-,2,,
1986-94,14101148,350,-,-,-,,
1987-88,14102058,305,-,-,2,,
1969-85,14316379,350,-,-,2,,
